City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
278,brigantine,39.4101,-74.3646,8.9,75,75,2.57,US,1675042127
279,linxia,35.6003,103.2064,-2.99,49,0,0.7,CN,1675042247
280,narsaq,60.9167,-46.05,-12.88,70,100,3.56,GL,1675042037
281,finnsnes,69.2296,17.9811,-11.8,100,90,2.24,NO,1675042247
282,flin flon,54.7682,-101.865,-24.91,95,100,3.22,CA,1675042248
283,klyuchi,52.2667,79.1667,-19.03,99,69,3.32,RU,1675042249
284,leningradskiy,69.3833,178.4167,-20.8,97,61,2.71,RU,1675042250
285,bonavista,48.6499,-53.1147,-4.74,63,46,7.72,CA,1675042250
286,yaring,6.8662,101.3689,25.03,85,99,5.01,TH,1675042251
287,kahului,20.8947,-156.47,23.8,79,40,4.12,US,1675042252
288,avera,33.194,-82.5271,9.65,97,100,2.1,US,1675042252
289,russell,32.3502,-85.1999,15.6,94,100,3.6,US,1675042253
290,broken hill,-31.95,141.4333,25.92,51,39,6.34,AU,1675042254
291,coihaique,-45.5752,-72.0662,19.97,60,20,3.09,CL,1675042256
292,nouadhibou,20.931,-17.0347,15.99,72,93,8.75,MR,1675042256
293,vardo,70.3705,31.1107,-1.01,93,72,8.23,NO,1675042257
294,yarim,14.298,44.3779,9.12,77,11,0.44,YE,1675042257
295,mandiana,10.6333,-8.6833,22.99,18,44,2.29,GN,1675042258
296,enger,52.1333,8.5667,3.21,87,100,6.71,DE,1675042075
297,muriwai beach,-36.8167,174.45,20.31,92,100,5.74,NZ,1675042259
298,kholm,59.2667,32.85,-1.53,93,100,5.31,RU,1675042260
299,mweka,-4.85,21.5667,19.2,99,100,1.38,CD,1675042261
300,balkhash,46.844,74.9804,-20.66,77,0,6.0,KZ,1675042262
301,sembe,1.6481,14.5806,21.52,90,89,1.32,CG,1675042263
302,lavrentiya,65.5833,-171.0,-6.65,95,100,6.86,RU,1675042028
303,fortuna,40.5982,-124.1573,12.19,50,0,4.12,US,1675042189
304,lebedinyy,58.5167,125.5167,-25.21,88,14,2.57,RU,1675042264
305,safidon,29.4167,76.6667,11.06,94,100,5.98,IN,1675042265
306,wick,58.4333,-3.0833,5.03,81,75,13.38,GB,1675042267
307,vao,-22.6667,167.4833,24.81,72,13,4.4,NC,1675042049
308,ancud,-41.8697,-73.8203,16.08,92,47,2.1,CL,1675042267
309,kurumkan,54.3,110.3,-16.75,99,92,0.22,RU,1675042268
310,kununurra,-15.7667,128.7333,27.99,83,75,3.6,AU,1675042010
311,amazar,53.858,120.875,-21.5,91,30,1.03,RU,1675042270
312,iqaluit,63.7506,-68.5145,-36.15,75,75,1.54,CA,1675042271
313,gladstone,-23.85,151.25,29.96,51,20,4.12,AU,1675042272
314,antigonish,45.6169,-61.9986,1.19,77,100,7.01,CA,1675042272
315,shache,38.4167,77.2406,-9.0,87,100,0.95,CN,1675042273
316,coolum beach,-26.5333,153.1,30.74,67,94,4.24,AU,1675042274
317,ostrovnoy,68.0531,39.5131,-3.41,89,100,10.12,RU,1675042276
318,genhe,50.7833,121.5167,-22.25,96,96,0.91,CN,1675042278
319,guerrero negro,27.9769,-114.0611,15.1,64,0,4.43,MX,1675042061
320,lucea,18.451,-78.1736,25.92,77,4,4.97,JM,1675042279
321,nanortalik,60.1432,-45.2371,-4.82,84,100,3.52,GL,1675042280
322,impfondo,1.6381,18.0667,22.16,88,99,2.46,CG,1675042281
323,hutchinson,38.0608,-97.9298,-9.67,61,100,5.14,US,1675042173
324,vanavara,60.34,102.2797,-16.73,96,99,3.36,RU,1675042039
325,saint-augustin,51.226,-58.6502,-19.55,82,100,2.77,CA,1675042283
326,puerto narino,-3.7703,-70.3831,22.69,98,100,1.38,CO,1675042284
327,sao filipe,14.8961,-24.4956,21.34,69,93,6.49,CV,1675042285
328,prince rupert,54.3161,-130.3201,1.83,59,0,4.12,CA,1675042242
329,tolon,37.5202,22.8586,9.9,74,87,1.65,GR,1675042286
330,kalmunai,7.4167,81.8167,23.38,87,65,3.66,LK,1675042286
331,harsin,34.2721,47.5861,3.45,72,85,2.52,IR,1675042287
332,garliava,54.8167,23.8667,0.99,97,100,7.81,LT,1675042287
333,valkeala,60.9401,26.7979,0.22,100,100,6.69,FI,1675042288
334,kletskaya,49.3145,43.0584,-2.28,86,99,3.51,RU,1675042288
335,hasaki,35.7333,140.8333,7.94,59,26,5.02,JP,1675042289
336,mount isa,-20.7333,139.5,32.87,46,75,4.63,AU,1675042290
